name,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
Beat the Texas Heat in a Private Pool in Charming Zilker,Entire home/apt,714,2,27,1.09
Walk to SXSW/ACL everywhere! Amazing location. DT,Entire home/apt,257,3,7,0.36
Sunny Austin Duplex,Entire home/apt,70,2,4,0.18
Luxurious Upscale 1BR in Exclusive Tarrytown Neighborhood. Treat Yourself to Comfort & Location,Entire home/apt,253,2,0,
Private room in sunny Austin Duplex,Private room,55,1,3,0.18
South Austin boho bungalow,Entire home/apt,400,2,0,
Inn Cahoots on 6th: 5BR/13Beds Pool Roofdeck (U1),Entire home/apt,998,1,30,1.56
N.Lamar: Spot in Shared Room for Two,Shared room,23,29,3,0.12
N.Lamar: Economic Spot in Amazing Community,Shared room,16,29,4,0.15
Walk the Drag and Scoot Downtown at a West Campus Home,Entire home/apt,92,1,148,5.56
Zen retreat_9,Entire home/apt,350,2,22,0.86
Cool  eclectic Southeast Austin room,Private room,48,2,8,0.3
East Austin Classic Comfort,Entire home/apt,318,3,62,2.35
Frontline Medical Workers Are Welcome in Our Home,Entire home/apt,232,2,84,3.11
Large Private Room/Den in Eclectic Eastside Spot,Private room,85,1,16,0.66
N.Lamar: Spot in 2 Person Room - Great Community,Shared room,23,29,2,0.12
N.Lamar: Spot in Super Great Community,Shared room,16,29,6,0.25
Private Zilker Cottage with a Chic Take on Southwest Style,Entire home/apt,239,1,210,8.08
2 Bedroom Condo  Rooftop Pool,Entire home/apt,226,2,9,0.4
1 Bedroom Condo  Rooftop Pool,Entire home/apt,208,2,2,0.1
Studio close to 6th w/Rooftop Pool,Entire home/apt,198,2,7,0.29
★Wyndham Austin-Luxury 2 BDRM/Kitch & LivRm★,Entire home/apt,256,2,0,
★Wyndham Austin-Luxury 2 BDRM/Kitch & LivRm★,Entire home/apt,256,2,0,
★Wyndham Austin-Luxury 2 BDRM/Kitch & LivRm★,Entire home/apt,256,2,0,
Instagram Worthy Hyde Park Cottage,Entire home/apt,156,2,81,3.16
Hyde Park Treetop Garage Apt,Entire home/apt,94,2,86,3.49
Modern and Convenient South Austin Apartment,Entire home/apt,141,1,5,0.2
Sunny South Austin Large 4 Bedroom Home,Entire home/apt,170,6,10,0.38
Turquoise Door Retreat - SE Austin,Entire home/apt,93,2,34,1.33
Romantic Bungalow Near Eateries in East Austin,Entire home/apt,200,7,31,1.18
Modern Central Austin Getaway,Entire home/apt,77,28,143,6.22
Downtown Austin 2BR high rise close to everything,Entire home/apt,250,2,5,0.19
Private and Secluded Escape in East Austin,Entire home/apt,95,3,108,4.07
Cornerstone of West Campus near Guadalupe and Downtown,Entire home/apt,76,1,133,5.07
Spacious Home - Walking Distance to ACL!,Entire home/apt,875,2,0,
Cozy private bedroom with private bathroom!,Private room,45,2,6,0.23
Lovely Room - Walking distance to Zilker Park,Private room,120,2,4,0.16
Friendly Apartment Close to Downtown,Entire home/apt,100,3,7,0.28
Historic House Near Downtown w/Unlimited Parking,Entire home/apt,171,2,18,0.68
The Cabana  close to all Austin has to offer,Entire home/apt,107,3,36,2.07
Modern and Convenient South Austin Apartment,Entire home/apt,194,1,4,0.16
Modern 2BR  w/King Bed  5min to everything,Entire home/apt,150,3,32,1.25
Picturesque & Modern Oasis | E 6th St,Entire home/apt,436,1,43,1.65
ClubHouse on Castle Hill,Entire home/apt,232,2,2,0.1
Private oasis near Lake Travis,Private room,25,1,11,0.41
South Austin 2Bed Apartment,Entire home/apt,57,1,12,0.46
Austin - Onion Creek Condo,Entire home/apt,74,30,5,0.22
Houseboat with Amazing Lake Travis View  B&B,Private room,593,1,1,0.07
Spacious One-bedroom Apartment Close to Downtown,Entire home/apt,65,1,4,0.15
East Austin Studio,Entire home/apt,50,28,40,1.66
▶︎Artsy 3 bed/1bath | COVID CLEAN | 5min dtown/SOCO,Entire home/apt,235,2,71,3.16
Austin Artist Lair,Private room,41,3,103,3.93
Comfy couch minutes from downtown,Shared room,18,2,3,0.11
Wallflower Apartment,Entire home/apt,83,1,14,0.56
Fantastic Barton Hills Home  Formula 1 and ACL !,Entire home/apt,240,2,59,2.27
1BR/1BR Condo/King bed 12 min from DT ATX,Entire home/apt,99,2,30,1.15
2HQ - Two Charming Homes in Downtown Austin!,Entire home/apt,287,2,3,0.16
NEW! Modern Mediterranean with Rooftop Deck Views,Entire home/apt,254,3,45,1.8
Austin Oasis- Spacious HM-Pool/Patio/Spa/Fire Pit,Entire home/apt,599,4,58,2.49
Your Own Private Hill Country Resort!!!!,Entire home/apt,431,4,37,1.49
Austin luxury yet affordable apartment!!!,Entire home/apt,45,1,4,0.16
MidModern ranch in Way South Austin!,Private room,37,1,24,1.57
Private Room & Bath by The Domain,Private room,40,1,42,1.6
Cozy 2 Bedroom  1 Bathroom Duplex in Austin,Entire home/apt,95,30,2,0.1
Cozy Eastside Bungalow,Entire home/apt,210,1,22,0.89
Your ACL Headquarters!,Private room,150,2,2,0.1
Beautiful East Austin home close to UT/downtown!,Entire home/apt,400,2,3,0.17
Peaceful Easy Feeling,Entire home/apt,160,2,6,0.32
Modern house w/screened porch in trendy EastAustin,Entire home/apt,500,2,21,0.82
New Modern Texas Hill Country Private Gem 3 acres,Entire home/apt,614,3,24,0.98
Amazing 2 BR  7mls to ABIA & DT  next to Expo cen.,Entire home/apt,100,2,38,1.53
Austin Little Grey Casita - near UT and Downtown,Entire home/apt,125,4,27,1.09
1 Bedroom Condo at Wyndham Austin Resort,Entire home/apt,371,2,0,
3BR - SoCo Cool! Huge  Hip  and Amazing Location!,Entire home/apt,224,1,229,8.74
Charming Clarksville (Downtown) Cottage,Entire home/apt,98,5,69,2.66
★Domain | Group Retreat | Hot Tub l Fire Pit★,Entire home/apt,169,1,86,3.36
N.Lamar: Economic Spot in Community,Shared room,16,29,4,0.16
N.Lamar: Shared Spot in Community,Shared room,23,29,1,0.04
N.Lamar: Economic Spot in Great Communtiy,Shared room,16,30,3,0.14
N.Lamar: Shared Room Spot in Great Community,Shared room,23,29,1,0.06
The Einstein House,Entire home/apt,99,2,6,0.23
Luxury Apt Downtown Austin | A+ Location,Entire home/apt,119,3,11,0.45
“Country in the City”  New Large Charming Cottage,Entire home/apt,150,3,0,
⭐⭐⭐⭐⭐MEGA HOUSE with POOL Sleeps 14 Downtown ATX!!,Entire home/apt,923,2,79,3
Inn Cahoots on 6th: 5BR/13Beds Pool Roofdeck (U2),Entire home/apt,959,1,38,1.99
Explore Austin in a Creative and Cozy House in East Downtown,Entire home/apt,300,3,23,0.9
Tether Hillside View,Entire home/apt,299,3,22,0.89
Soak up the Mexican Beach Vibe at a Rustic-Luxe Oasis,Entire home/apt,203,2,180,7.18
The Chicken Hut,Private room,48,1,36,1.38
Dog Friendly | East Austin | Near Downtown,Entire home/apt,70,30,17,0.68
The Aries: Spacious. Glam. Close to everything!,Private room,86,2,1,0.05
Be Inspired,Private room,65,1,0,
Cozy Cottage Near Zilker Park and  Downtown,Entire home/apt,325,3,0,
Downtown Studio: Steps from 6th! Unbeatable spot,Entire home/apt,350,1,1,0.05
Luxury Tulum Oasis in Heart of Austin- 35 ft POOL,Entire home/apt,2514,3,10,0.51
Modern & Stylish Guesthouse in Austin  TX,Entire home/apt,125,2,21,0.97
Zilker Healthy Home,Entire home/apt,151,2,83,3.18
Upscale ATX Music Condo in East Austin,Entire home/apt,115,2,105,4.25
Delightful 2 Bedroom Duplex Travis Heights,Entire home/apt,95,2,8,0.31
Quaint Home w/Screened Porch & Patio  3 Mi to ACL!,Entire home/apt,122,2,11,0.43
Salute the Sun from an Eco-Friendly Loft Home,Entire home/apt,750,2,7,0.28
Lake Travis Waterfront Guest Suite,Private room,150,2,1,0.04
Renovated 2 bed house 10 mins to downtown. Dogs ok,Entire home/apt,200,2,10,0.4
Enjoy Austin Texas!,Entire home/apt,30,2,11,0.43
North Loop Jewel,Entire home/apt,83,5,70,2.72
Inn Cahoots on 6th St: 10BR/26Bed Pool Roofdeck,Entire home/apt,2142,1,6,0.59
Spacious house,Private room,50,1,11,0.45
Austin's South Congress Home Away From Home,Entire home/apt,800,3,0,
Rock & Roll Bungalow,Entire home/apt,198,2,12,0.48
Austin House,Private room,75,1,2,0.08
The Soco Studio by Lodgewell>>2 cute 2 b 4 gotten.,Entire home/apt,88,1,102,4.01
Walk to ACL!,Entire home/apt,250,3,2,0.08
The Turtle Inn,Entire home/apt,350,2,37,1.48
Chic Modern Space in Trendy East Austin,Entire home/apt,189,2,10,0.39
Zilker Casita - Walk to ACL  Barton Springs,Entire home/apt,83,2,94,3.69
Relaxing space in the heart of Ausitn,Entire home/apt,175,2,5,0.25
Artist Studio,Private room,33,1,108,4.13
East Austin home,Entire home/apt,250,2,9,0.35
Modern Guest Cottage - 12 Mi to Downtown Austin!,Entire home/apt,156,2,13,0.55
Master Bedroom in North Central Austin,Private room,35,1,6,0.23
Tulum Inspired Oasis In Heart of Austin-Sleeps 16!,Entire home/apt,2914,3,6,0.32
Charming Clarksville Condo Near Downtown,Entire home/apt,99,30,6,0.25
Hillside Villas,Entire home/apt,1900,30,0,
Bohemian Lakeside Studio,Entire home/apt,79,2,7,0.28
Circle C Austin Home with a view,Entire home/apt,191,5,0,
AUSTINS LUXURY RESORT ★1 Bedroom ★Sleeps 4 Guests,Entire home/apt,354,2,1,0.05
Austin Cottage Near University of Texas Campus and Downtown,Entire home/apt,220,2,100,3.9
East Austin Cool Modern Bungalow - Extended Stays,Entire home/apt,119,29,1,0.04
Pearl Paradise,Entire home/apt,199,2,65,2.52
Chill Downtown Getaway FREE parking+laundry wifi,Entire home/apt,72,2,83,3.37
San Gabriel House,Entire home/apt,103,2,45,1.76
Private entrance & bathroom - Modern Suite,Private room,84,1,22,0.9
Relax in SoCo,Entire home/apt,117,30,68,2.61
A Little Getaway  to Relax and Enjoy Austin!,Entire home/apt,127,1,0,
Expansive Luxury Escape | Pool,Entire home/apt,1068,30,18,0.73
Close to Everything: Large Oasis Yard/Whole House,Entire home/apt,350,3,0,
Luxury Furnished Apartment w/Amazing Amenities,Entire home/apt,125,1,8,0.31
Central Austin Luxury Retreat,Entire home/apt,585,3,68,2.71
Downtown East Side! 2 King Beds  Top BBQ & bars!,Entire home/apt,89,2,98,4.02
Austin Home w/ 2 Decks & Views  Mins to 2 Lakes!,Entire home/apt,216,2,21,0.85
Inn Cahoots on 6th: 5BR/13Beds Pool  Roofdeck (U3),Entire home/apt,1005,1,35,1.84
6th Street Suite: 4BR/11Beds  Pool  Roofdeck (U4),Entire home/apt,488,1,30,1.61
Sunny East Austin Home - 9miles to Downtown,Entire home/apt,135,1,6,0.24
Cozy Apartment close to Zilker Park,Entire home/apt,120,2,1,0.04
South Congress Luxury,Entire home/apt,318,1,0,
Yvette’s Domain,Private room,31,1,49,1.95
Explore a Foodie Area from a Renovated East Side Bungalow,Entire home/apt,219,1,58,2.27
1/1 Central North: UT ACL Downtown  Hyde Park ,Entire home/apt,73,60,2,0.08
Barton Springs Studio,Entire home/apt,150,29,14,0.55
Convenient  quiet bed & bath suite. Verdant patio.,Private room,54,2,9,0.37
SXSW Centrally  located  Condominium,Entire home/apt,75,1,55,2.21
Luxury suite with bathroom and living area w/tv,Private room,82,2,70,2.77
The Bloomhouse by Lodgewell>>Fairy Tale Escape,Entire home/apt,501,1,33,1.38
Austin Flats #201,Entire home/apt,120,31,35,1.41
Downtown NE Mid-century Magnificent!,Entire home/apt,174,2,65,2.59
Sojourn on Cherry Lane,Entire home/apt,100,5,54,2.14
Sour Patch Kid House,Entire home/apt,536,2,0,
Room in South Austin minutes to ACL/downtown,Private room,150,2,0,
Pearl Paradise 2,Entire home/apt,195,2,61,2.38
Mid Century Zilker duplex  walk to Barton Springs!,Private room,95,2,14,0.55
Vacation the right way!! Close to downtown!!,Entire home/apt,175,1,2,0.08
New Austin Townhouse - Blue Room,Private room,56,1,13,0.51
The Cozy Tiny,Entire home/apt,102,2,40,1.58
Large 4 bedroom house  Keyless entry Luxe Kitchen!,Entire home/apt,250,3,9,0.37
Beautiful Contemporary Home in Westlake,Entire home/apt,700,2,0,
Sunny Bohemian Bungalow,Entire home/apt,49,4,2,0.08
New Hyde Park Charmer Among the Trees,Entire home/apt,181,2,27,1.07
Austin Apartment Near UT/Downtown,Private room,19,1,4,0.16
Keeping it Weird,Entire home/apt,105,2,2,0.08
Peaceful South Austin House close to Downtown,Private room,125,1,3,0.12
PLUSH  SOUTH CONGRESS TOWNHOME,Entire home/apt,88,2,157,6.06
Downtown Austin ideal location!,Entire home/apt,212,2,1,0.05
Say Hello to South Austin from a Tranquil Room,Private room,29,30,18,0.72
Ideal location  2 bedroom  sleeps 6!,Entire home/apt,500,2,1,0.04
The Lake Shack on Lake Travis,Entire home/apt,300,3,19,1.2
6th Street Suite: 4BR/11Beds  Pool  Roofdeck (U5),Entire home/apt,814,1,37,1.91
Private Boho Master Suite,Entire home/apt,70,2,114,4.63
Native Austinite Casita right off S Lamar,Private room,88,2,3,0.29
South Austin getaway,Private room,40,1,14,0.56
Key to Austin Get Away Vibe,Private room,99,2,40,1.82
Cute Casita Under Canopy of Trees,Entire home/apt,89,2,79,3.12
Great home/fun host 1,Private room,60,1,14,0.71
Rooftop Roost ATX. Downtown Sunset views. 8 beds,Entire home/apt,447,1,47,1.88
Franwood Lane,Private room,53,1,4,0.17
Lodge with a view,Entire home/apt,400,1,2,0.08
MONTHLY: Fully furnished extended stay in 78704!,Entire home/apt,63,29,93,3.69
Capitol View Condos by One Fine Flat - Paramount,Entire home/apt,111,2,85,3.35
Deep Eddy Backyard Studio with Treetop Views,Entire home/apt,140,3,131,5.28
Close to Downtown & Ladybird Lake *peace & quiet*,Entire home/apt,676,2,15,0.62
Chill relaxing community in beautiful south ATX,Private room,65,1,2,0.92
Trendy East ATX Bungalow w/ Xeriscaped yard,Entire home/apt,83,2,28,1.15
Inn Cahoots on 6th: 15 BR/39 Beds  Pool  Roofdeck,Entire home/apt,3194,1,1,0.44
Entire Hotel on 6th St: 5 Suites / 23 BR / 61 Beds,Entire home/apt,5413,2,0,
BEST neighborhood in ATX for walkers.,Entire home/apt,127,2,114,4.61
Walking Distance to East 6th & Rainey Streets!,Entire home/apt,309,1,50,1.96
Austin Bungalow - near ACL!,Entire home/apt,124,1,3,0.13
ACL Paradise- Hot Tub  Minutes from 6th,Entire home/apt,1888,2,11,0.45
Perfect  Spacious  Quiet DOUBLE Home in East DT!,Entire home/apt,208,1,7,0.28
Hill Country Views! Just minutes from downtown!,Entire home/apt,79,2,5,0.2
THE AUTHENTIC ATX ORIGINAL,Entire home/apt,896,99,0,
Inn Cahoots: 8BR/22Bed Pool Roofdeck on 6th (U4&5),Entire home/apt,1831,1,5,0.27
Cool Austin Condo,Entire home/apt,108,2,37,1.45
Mid Century Treehouse walk to ACL,Entire home/apt,250,2,6,0.24
Charming Cottage in North Loop / Hyde Park,Entire home/apt,150,5,8,0.33
Downtown/6th Historic Urban Loft 1 500sqft.,Entire home/apt,1500,1,1,0.04
Backyard Hot Tub North Central Home,Entire home/apt,249,1,160,6.43
Cute Austin Bungalow W/ Fenced Yard,Entire home/apt,265,2,13,0.66
Allendale Abode,Entire home/apt,80,1,4,0.16
Private 2-Bedroom in South Austin 2-Story Home,Private room,32,1,68,2.79
Interior Designer's Hyde Park Bungalow,Entire home/apt,175,4,5,0.22
60-day+ South Lamar - Perfect Short-Term Rental,Private room,40,59,1,0.27
Super Cozy South Austin Apartment,Entire home/apt,118,2,1,0.04
Hyde Park hideaway,Private room,52,2,26,1.05
Cozy and Spacious 4 bed 2.5 bath home in NE Austin,Entire home/apt,145,1,41,2.08
Todd Guest House,Entire home/apt,695,3,1,0.04
Relaxing Abode in Central Austin,Entire home/apt,110,2,5,0.2
ATX Cozy Tiny House,Entire home/apt,89,2,175,7.05
End Of the Road  Dripping Springs,Entire home/apt,125,2,110,4.38
Walk East Austin  Best Location,Entire home/apt,249,3,39,1.59
East Austin Gem  Best Location,Entire home/apt,237,3,28,1.13
Enfield Sanctuary Near Downtown,Entire home/apt,212,1,89,3.57
East Austin Comfort Pad,Entire home/apt,207,3,29,1.18
7 miles to Downtown| Minutes to Airport  COTA & F1,Entire home/apt,250,2,54,2.13
Downtown East Studio,Private room,83,2,17,1.29
Trendy Industrial Apt in the Heart of DT,Entire home/apt,536,2,1,0.04
Brand New Studio house in Central ATX  Casa Hazel,Entire home/apt,115,2,16,0.64
1 BR in Central/East Austin Oasis!,Private room,78,2,0,
The Brazos by Lodgewell>>You'll Fall In Loft Here.,Entire home/apt,325,1,84,3.36
78704 ACL READY ZEN W/ GREAT OUTDOOR SPACE,Entire home/apt,500,2,0,
Super-escape-work-family-chemically-sanitized,Entire home/apt,108,2,88,3.48
Moroccan Apartment,Entire home/apt,100,1,5,0.2
Large 1 bedroom guest house in the heart of S. 1st,Entire home/apt,75,1,71,2.8
The Humble Hotel,Entire home/apt,350,2,0,
Modern SoCo Condo in the Heart of SXSW!,Entire home/apt,113,1,160,6.68
Cleaned with Disinfectant  — Live Large in the Tiny Shiny,Entire home/apt,96,1,323,12.7
Stylish South Austin Getaway - 2B/2B,Entire home/apt,100,2,13,0.52
South Austin Creekside Retreat!!!!,Entire home/apt,172,30,27,1.2
Updated Home w/Deck & Grill  8 Mi to Downtown Fun!,Entire home/apt,231,2,17,0.89
Modern Apartment Walking Distance to ACL,Entire home/apt,425,1,1,0.04
1-1 Condo  / Highly Desirable Central Location,Entire home/apt,75,2,48,2.33
Downtown Sky Retreat  best location- 30th floor,Entire home/apt,199,3,14,0.55
SOCO Modern Farmhouse Blending Sleek and Rustic Accents,Entire home/apt,110,2,22,1
Classic & Spacious 3BR Home near Crestview Station,Entire home/apt,250,3,1,0.04
Charming Old Austin Home,Entire home/apt,199,30,3,0.12
Easy Elegant Central Mueller House,Entire home/apt,255,3,3,0.15
"Quiet spacious room. Hotel style bed.
Cent local.",Private room,34,1,34,1.34
Superfly - A quirky little space to rest your head,Entire home/apt,82,2,3,0.12
The Art Gallery,Private room,45,1,9,0.36
Fantastic Apartment  Downtown Austin!,Entire home/apt,359,2,75,3.03
Restful Oasis in South Austin,Entire home/apt,150,1,1,0.04
"Plush King Bedrm~9min to 6th coffee 
&Brkfst Incl!",Private room,34,1,56,2.22
4.3 Miles to ACL! Close-in Wooded Modern Comfort,Entire home/apt,745,3,0,
Austin -  Suite Au Dessus Du Garage,Entire home/apt,95,1,99,3.89
Cozy bedroom and private bathroom,Private room,100,1,3,0.15
Cozy in Clarksville - 2 miles from ACL venue,Entire home/apt,250,2,2,0.08
Not-So-Tiny House in N. Central Austin,Entire home/apt,80,30,57,2.3
Upscale apartment private bed&bathroom to rent,Private room,200,2,3,0.12
Perfect Downtown SXSW spot!   St. Anthony Studio,Entire home/apt,73,2,55,2.18
Eastside Baja-California Style Casita With Private Entrance,Entire home/apt,179,2,24,0.97
Oberon the  Airstream  your Formula One Retreat,Entire home/apt,115,2,7,0.28
Perfect Central Austin Getaway,Entire home/apt,115,3,23,0.95
Artsy Eclectic Private Room,Private room,140,2,0,
2 BR WorldMark Resort Condo in Austin  TX,Entire home/apt,316,2,0,
Gentrified Bungalow 2/1  Access to Best of Austin,Entire home/apt,104,3,62,2.5
Luxury Private Room (1) in Austin's McKinney Falls,Private room,38,1,223,8.93
Cute and Convenient Central East Side Studio!!,Entire home/apt,90,1,11,0.44
Hyde Park Condo,Entire home/apt,200,1,32,1.29
Quite Garden Oasis  Minutes from Downtown,Entire home/apt,149,2,5,0.2
